,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
XUN,UltraNote,CryptoNight,TRUE,PoW,19281821413,85000000000
XNC,XenCoin,Scrypt,TRUE,PoW,,2100000000
MIMI,MIMI Money,CryptoNight,FALSE,PoW,,1.00E+18
XVG,Verge,Multiple,TRUE,PoW,15929530669,16555000000
XNB,Xeonbit,CryptoNight,TRUE,PoW,,18400000
HCXP,HCX PAY,CryptoNight,FALSE,PoW,,2000000000
XG,XG Sports,XG Hash,TRUE,PoW/PoS,,0
XVP,VirtacoinPlus,X11,TRUE,PoW/PoS,13162749.09,100000000
XWC,WhiteCoin,Scrypt,TRUE,PoW/PoS,252005564.2,300000000
XZC,ZCoin,Lyra2Z,TRUE,PoW,7568281.25,21400000
YAC,YAcCoin,Scrypt,TRUE,PoW,,2000000000
YMC,YamahaCoin,Scrypt,TRUE,PoW,,315000000
YBC,YbCoin,Multiple,TRUE,PoS,,200000000
YOVI,YobitVirtualCoin,SHA-256,TRUE,PoS,,22830000
YOC,YoCoin,Scrypt,TRUE,PoW,636462.5598,168351300
ZBC,Zilbercoin,Scrypt,TRUE,PoS,2922613.964,55000000
ZCC,ZCC Coin,Scrypt,TRUE,PoW/PoS,147990238,1000000000
ZECD,ZCashDarkCoin,Scrypt,TRUE,PoW,,500000000
ZCL,ZClassic,Equihash,TRUE,PoW,5613550,21000000
SCA,SiaClassic,Blake2b,FALSE,PoW,,5000000000
ZEC,ZCash,Equihash,TRUE,PoW,7383056.25,21000000
ZEIT,ZeitCoin,Scrypt,TRUE,PoS,36971236047,99000000000
ZEN,Horizen,Equihash,TRUE,PoW,7296537.5,21000000
ZED,ZedCoins,Scrypt,TRUE,PoW,,120000000
ZEPH,ZEPHYR,SHA-256,TRUE,DPoS,1999999995,2000000000
BBTC,BlakeBitcoin,Blake,FALSE,PoW,20595483.85,21000000
ZENI,Zennies,Scrypt,TRUE,PoS,,1000000000
ZER,Zero,Equihash,TRUE,PoW,6921653.9,17000000
ELT,Electron,Blake,FALSE,PoW,24156921.99,7000000000
ZET,ZetaCoin,SHA-256,TRUE,PoW,170204389.8,169795588
AVE,Avesta,Avesta hash,FALSE,PoW,,200000000
ZET2,Zeta2Coin,Quark,TRUE,PoW/PoS,,1200000
ZNE,ZoneCoin,Scrypt,TRUE,PoW/PoS,2581970,21000000
ZNY,BitZeny,Scrypt,TRUE,PoW,75614500,250000000
ZOI,Zoin,Lyra2RE,TRUE,PoW,18545757.5,21000000
ZYD,ZayedCoin,SHA-256,TRUE,PoW,6243840,9736000
ZOOM,ZoomCoin,Lyra2RE,TRUE,PoW,,250000
